address,baths,beds,cars,link,price,solddate,type
"22 Gielgud Crescent, McDowall", 3, 4, 4,/sold/property-house-qld-mcdowall-121394270,"$640,000",12 Jan 2016,house
"112 Paramount Circuit, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-121250346,"$750,000",08 Jan 2016,house
"53 Gleason Street, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-121467506,"$645,000",22 Dec 2015,house
"78 De Mille Street, McDowall", 2, 4, 1,/sold/property-house-qld-mcdowall-121245562,"$590,000",21 Dec 2015,house
"25 Beckett Road, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-121169374,"$475,000",18 Dec 2015,house
"24 Bisset Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-121455798,"$649,000",16 Dec 2015,house
"10 Brynner Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-120903037,"$552,000",09 Dec 2015,house
"6 Voigt Street, McDowall", 3, 4, 3,/sold/property-house-qld-mcdowall-120393417,"$634,000",30 Nov 2015,house
"10 Sellers Place, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-121033066,"$742,500",23 Nov 2015,house
"19 Redford Crescent, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-120171453,"$737,500",23 Nov 2015,house
"24 Gleason Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-119860849,"$560,000",13 Nov 2015,house
"36 Kline Pl, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-120899685,"$745,000",11 Nov 2015,house
"15 Bardot Street, McDowall", 2, 3, 4,/sold/property-house-qld-mcdowall-121027930,"$512,000",10 Nov 2015,house
"12 Pilbeam Place, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-120757829,"$685,000",06 Nov 2015,house
"244 Trouts Rd, McDowall", 2, 4, 4,/sold/property-house-qld-mcdowall-121040378,"$525,000",06 Nov 2015,house
"5 Goldwyn Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-120744425,"$680,000",12 Oct 2015,house
