address,auctiondate,baths,beds,cars,link,openhouse,price
"3/17 Lemonwood Way, Kununurra, WA 6743",,1,2,,/property-unit-wa-kununurra-116882183,,"$259,000 REDUCED!"
"479 Jabiru Road, Kununurra, WA 6743",,2,4,4,/property-house-wa-kununurra-116027035,,"Offers Over $2,200,000"
"66 Lily Lagoon Private Estate, Kununurra, WA...",,,,,/property-residential+land-wa-kununurra-200582079,,Contact Agent
"8 Grevillea Avenue, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-113626651,,"$449,000"
"31A Lemonwood Way, Kununurra, WA 6743",,1,2,1,/property-house-wa-kununurra-113274643,,MAKE AN OFFER!
"Lot 11 Jasmine Lane, Coolibah Estate,...",,,,,/property-residential+land-wa-kununurra-200398447,,"$143,000"
"Lot 390 Nauclea Way, Lakeside Park, Kununurra...",,,,,/property-residential+land-wa-kununurra-200395075,,"$163,000"
"1 Lakeside Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-2875396,,"From $138,000 - $308,500"
"1 Coolibah Drive, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-2875393,,"From $129,780 - $584,010"
"6 Woollybutt Place, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-106676089,,"$345,000 - $365,000"
"28 Wilson St, Timber Creek, NT 0852",,4,6,4,/property-acreage+semi+rural-nt-timber+creek-125094266,,"$260,000"
"43 O'Donnell Street, Wyndham, WA 6740",,,,,/property-residential+land-wa-wyndham-201758082,,"$99,000"
"25 Kabbarli Street, Wyndham, WA 6740",,1,3,2,/property-house-wa-wyndham-125317978,,"$179,000"
"13 Delamere Street, Wyndham, WA 6740",,1,3,3,/property-house-wa-wyndham-122138506,,"$250,000"
"25 Great Northern Highway, Wyndham, WA 6740",,,,,/property-residential+land-wa-wyndham-201734402,,"$45,000"
"14 Delamere Street, Wyndham, WA 6740",,1,3,2,/property-house-wa-wyndham-124758610,,"$225,000"
"11 Kwinana Street, Wyndham, WA 6740",,1,3,,/property-house-wa-wyndham-124385426,,"$198,000"
"5 Cox Street, Halls Creek, WA 6770",,1,3,2,/property-house-wa-halls+creek-124311938,,"$500,000-$550,000"
"7 Kimberley Street, Wyndham, WA 6740",,2,3,4,/property-house-wa-wyndham-124059950,,"$299,000"
"Timber Creek, address available on request",,1,1,4,/property-house-nt-timber+creek-123831154,,"$385,000"
"Lot 146 Jinggul Street, Halls Creek, WA 6770",,,,,/property-residential+land-wa-halls+creek-201535326,,"$480,000"
"Lot 139 Cnr Kinivan Street & Jinggul Street,...",,,,,/property-residential+land-wa-halls+creek-201535298,,"$220,000"
"Lot 136 Jinggul Street, Halls Creek, WA 6770",,,,,/property-residential+land-wa-halls+creek-201535294,,"$220,000"
"Lot 131 Cnr Bridge Street & Jinggul Street,...",,,,,/property-residential+land-wa-halls+creek-201535266,,"$148,000"
"Lot 128 Bridge Street, Halls Creek, WA 6770",,,,,/property-residential+land-wa-halls+creek-201535238,,"$148,000"
"Lot 126 Bridge Street, Halls Creek, WA 6770",,,,,/property-residential+land-wa-halls+creek-201535234,,"$147,000"
"Lot 116 Minyjarra Way, Halls Creek, WA 6770",,,,,/property-residential+land-wa-halls+creek-201535222,,"$130,000"
"30 Koolama Street, Wyndham, WA 6740",,1,3,,/property-house-wa-wyndham-120799709,,"$340,000"
"47 Cox Street, Halls Creek, WA 6770",,4,7,5,/property-acreage+semi+rural-wa-halls+creek-120678165,,"$450,000 to $499,000"
"Lot 142 Jinggul Street, Halls Creek, WA 6770",,,,,/property-residential+land-wa-halls+creek-201256829,,"$138,000"
"7 Kwinana Street, Wyndham, WA 6740",,1,3,1,/property-house-wa-wyndham-118406259,,"$220,000"
"32 Koolama Street, Wyndham, WA 6740",,1,3,2,/property-house-wa-wyndham-117597971,,"$380,000"
"A And B/22 Koolama Street, Wyndham, WA 6740",,4,6,6,/property-duplex+semi+detached-wa-wyndham-113204335,,"$280,000"
