address,baths,beds,cars,link,price,solddate,type
"3680 Esk Kilcoy Road, Hazeldean",,,,/sold/property-residential+land-qld-hazeldean-200550151,"$454,000",16 Oct 2015,residential land
"1302 Cressbrook-Caboorbah Road, Mount Beppo", 1, 3, 8,/sold/property-house-qld-mount+beppo-120497377,"$615,000",15 Oct 2015,house
"Address available on request, Hazeldean",,,,/sold/property-other-qld-hazeldean-7659715,"$270,000",10 Sep 2015,other
"531 Mount Beppo Road, Mount Beppo", 1, 3, 7,/sold/property-acreage+semi-rural-qld-mount+beppo-120160701,"$470,000",25 Aug 2015,acreage/semi-rural
"70 Brockhurst Drive, Hazeldean", 1, 2, 3,/sold/property-acreage+semi-rural-qld-hazeldean-113497083,"$315,000",24 Jul 2015,acreage/semi-rural
"17 King Street, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-201205689,"$120,000",15 Jul 2015,residential land
"Lot 4 Cnr Hamilton Lane &amp; Old Mt Beppo Rd, Mount Beppo", 2, 4, 3,/sold/property-livestock-qld-mount+beppo-7720555,"$520,000",01 Jul 2015,livestock
"20 Davis Court, Hazeldean", 1, 3, 2,/sold/property-acreage+semi-rural-qld-hazeldean-116079303,"$380,000",01 Jun 2015,acreage/semi-rural
"lot  2 LINKES LANE, Mount Beppo",,,,/sold/property-lifestyle-qld-mount+beppo-7742517,"$225,000",01 Jun 2015,lifestyle
"Lot 1 Tooloorum Road, Bryden", 3, 6, 4,/sold/property-lifestyle-qld-bryden-7736623,"$2,000,000",29 May 2015,lifestyle
"350 Fulham Road, Cressbrook", 1, 3, 0,/sold/property-lifestyle-qld-cressbrook-7298861,"$600,000",22 May 2015,lifestyle
"9 Third Avenue, Somerset Dam", 1, 3, 4,/sold/property-house-qld-somerset+dam-119353927,"$340,000",18 May 2015,house
"Lot 20 Kookaburra Cr, Hazeldean",,,,/sold/property-residential+land-qld-hazeldean-200163961,"$170,000",12 May 2015,residential land
"7 Edward Street, Somerset Dam", 1, 2, 0,/sold/property-house-qld-somerset+dam-119565179,"$35,000",04 May 2015,house
