address,baths,beds,cars,link,price,solddate,type
"49 Aqueduct Lane, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-123046290,"$745,000",20 Jul 2016,house
"9 The Parkway, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-122893550,"$545,000",19 Jul 2016,house
"8 Waigo Way, Diamond Creek", 2, 3, 2,/sold/property-unit-vic-diamond+creek-122795746,"$610,000",18 Jul 2016,unit
"79 Everleigh Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-122893466,"$700,000",14 Jul 2016,house
"Lot 5 Rusty Gate Crt., Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201466554,"$370,000",14 Jul 2016,residential land
"1/20 Coniston Street, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-122984650,"$565,000",12 Jul 2016,house
"12 Irene Court, Diamond Creek", 3, 4, 2,/sold/property-house-vic-diamond+creek-122907118,"$935,000",11 Jul 2016,house
"L11, 61 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201552202,"$455,000",07 Jul 2016,residential land
"9 Bryl Court (Lot 18), Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201466634,"$290,000",07 Jul 2016,residential land
"11 Bishop Avenue, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-122867286,"$536,000",28 Jun 2016,house
"8 Bryl Court (Lot19), Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201469806,"$260,000",27 Jun 2016,residential land
"5 Sovereign Rise, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-122735114,"$720,000",25 Jun 2016,house
"74 Clyde Street, Diamond Creek", 1, 3, 0,/sold/property-house-vic-diamond+creek-122768578,"$480,000",25 Jun 2016,house
"1 Helen Court, Diamond Creek", 2, 4, 4,/sold/property-house-vic-diamond+creek-122928858,"$675,500",23 Jun 2016,house
"47 Bishop Avenue, Diamond Creek", 1, 3, 1,/sold/property-house-vic-diamond+creek-122918938,"$566,500",22 Jun 2016,house
"42 Phipps Crescent, Diamond Creek", 1, 3, 3,/sold/property-house-vic-diamond+creek-122871234,"$600,000",20 Jun 2016,house
"2/10 Fuller Street, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-122703834,"$599,000",17 Jun 2016,house
"Lot 3, 61 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201527894,"$510,000",17 Jun 2016,residential land
"1 Citriodora Court, Diamond Creek", 2, 4, 5,/sold/property-house-vic-diamond+creek-122831838,"$901,150",16 Jun 2016,house
"Lot 3, Magenta Rise, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201510730,"$390,000",16 Jun 2016,residential land
"Lot 12, 61 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201528262,"$460,000",15 Jun 2016,residential land
"Lot 2, Magenta Rise, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201528230,"$390,000",15 Jun 2016,residential land
"Lot 5, Magenta Rise, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201523078,"$390,000",15 Jun 2016,residential land
"14 Mitchell Court, Diamond Creek", 2, 5, 2,/sold/property-house-vic-diamond+creek-122857366,"$782,000",14 Jun 2016,house
"64 Oronsay Crescent, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-122803350,"$731,000",14 Jun 2016,house
"12 Helen Court, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-122809146,"$597,000",14 Jun 2016,house
"15 Magpie Court, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201491814,"$387,500",09 Jun 2016,residential land
"94 Bellbird Rd, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-122204602,"$820,000",06 Jun 2016,house
"3 Fyffe Street, Diamond Creek", 2, 4, 1,/sold/property-house-vic-diamond+creek-122593842,"$623,000",04 Jun 2016,house
"10 The Parkway, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-122635214,"$540,000",04 Jun 2016,house
"lot 16 Rusty Gate Crt., Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201439862,"$355,000",02 Jun 2016,residential land
"75 Reynolds Rd., Diamond Creek", 1, 4, 6,/sold/property-house-vic-diamond+creek-121664506,"$960,000",30 May 2016,house
"429 Ryans Road, Diamond Creek", 1, 2, 0,/sold/property-house-vic-diamond+creek-122576458,"$480,000",30 May 2016,house
"428 Ryans Road, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-122532958,"$605,000",28 May 2016,house
"10 Victoria Street, Diamond Creek", 2, 3, 1,/sold/property-house-vic-diamond+creek-122568450,"$518,000",28 May 2016,house
"5 Harrap Court, Diamond Creek", 2, 5, 2,/sold/property-house-vic-diamond+creek-122648986,"$800,000",27 May 2016,house
"Address available on request, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201491082,"$420,000",25 May 2016,residential land
